title,release_date,popularity,vote_average,vote_count
Prometheus,2012-06-08,11.5917,6.592,13096
Terminator Salvation,2009-05-20,9.4249,6.082,6934
The Amazing Spider-Man 2,2014-05-02,11.4794,6.528,14048
Armageddon,1998-07-01,9.188,6.829,8454
Pixels,2015-07-24,11.3405,5.767,7956
Jurassic World: Fallen Kingdom,2018-06-22,10.7719,6.532,12614
Divergent,2014-03-21,9.3438,6.907,13350
Prey,2022-08-02,11.4697,7.665,7565
Thor: Ragnarok,2017-11-03,11.1618,7.581,21798
Subservience,2024-09-13,10.1297,6.631,953
Captain Marvel,2019-03-08,10.3403,6.786,16576
Bud Abbott and Lou Costello Meet the Invisible Man,1951-03-14,9.0405,6.3,114
Resurrection,2025-12-12,9.0589,6.7,43
Idiocracy,2006-09-01,9.2288,6.365,3446
Men in Black,1997-07-02,10.5551,7.217,14647
Twelve Monkeys,1995-12-29,9.3958,7.603,8984
X-Men: Days of Future Past,2014-05-23,9.8362,7.529,16090
Lucy,2014-07-25,10.0343,6.471,16890
The Butterfly Effect 2,2006-10-10,9.0319,4.954,977
Transformers: Rise of the Beasts,2023-06-09,10.1371,7.18,5195
War for the Planet of the Apes,2017-07-14,8.5331,7.217,9615
Humanoids from the Deep,1980-05-01,8.2668,5.77,270
Men in Black: International,2019-06-14,9.8103,5.895,5276
The Marvels,2023-11-10,8.7648,5.947,3273
Minions: The Rise of Gru,2022-07-01,9.3983,7.272,3955
Afterlight,2025-11-27,10.0498,5.033,15
Independence Day,1996-06-25,11.1342,6.9,10263
Ant-Man,2015-07-17,8.8282,7.1,20682
Tenet,2020-09-03,9.9631,7.173,10919
The Empire Strikes Back,1980-05-21,9.7919,8.392,18162
Snowpiercer,2014-06-27,8.975,6.909,10290
Teenage Mutant Ninja Turtles,2014-08-08,9.9952,5.925,7117
The Incredible Hulk,2008-06-12,9.9865,6.233,12538
Justice League,2017-11-17,9.1283,6.07,13550
Dog 51,2025-11-02,9.0431,6.247,223
40 Acres,2025-07-02,10.1205,6.42,94
Ultraman Cosmos 2: The Blue Planet,2022-10-11,8.197,6.5,8
Auton 3: Awakening,1999-07-01,7.9176,5.3,5
Sonic the Hedgehog,2020-02-14,9.9653,7.288,10288
Rogue Warrior: Robot Fighter,2017-06-02,7.8188,4.633,15
Dawn of the Planet of the Apes,2014-07-11,9.113,7.337,12099
Real Steel,2011-10-06,10.0073,7.066,8961
Rise of the Planet of the Apes,2011-08-05,8.2964,7.34,12608
Deep Blue Sea 2,2018-04-17,9.4251,5.1,554
Gaganachari,2024-06-21,7.3271,7.5,10
Space Jam: A New Legacy,2021-07-16,7.4544,6.648,4185
Space Pirate Captain Harlock,2014-08-01,23.9903,6.611,1076
Godzilla Minus One,2023-12-01,9.2295,7.58,3032
I Am Legend,2007-12-14,9.2791,7.21,16631
Invasion: Planet Earth,2020-05-26,7.7372,5.255,98
Minority Report,2002-06-21,8.8742,7.351,9457
My Hero Academia: You're Next,2024-10-11,8.8291,7.208,197
Paul,2011-03-17,7.9426,6.732,6175
The Evil of Frankenstein,1964-05-08,7.6329,6.1,111
Contact,1997-07-11,9.4054,7.438,4886
Black Adam,2022-10-21,10.2683,6.817,6907
Transformers: Age of Extinction,2014-06-27,8.5636,5.955,8651
Waterworld,1995-07-28,7.4702,6.218,3994
Battlestar Galactica: Razor,2007-11-12,8.0946,7.178,452
Tron,1982-07-09,7.2474,6.636,2684
Wifelike,2022-08-12,8.8187,6.641,309
Glass,2019-01-18,7.8015,6.664,8979
Sssssss,1973-07-06,8.9761,5.147,109
Star Trek Into Darkness,2013-05-16,7.4938,7.32,9538
Solo: A Star Wars Story,2018-05-25,8.6188,6.6,9148
Meg 2: The Trench,2023-08-04,8.1779,6.384,3891
Beyond The Sky,2018-09-21,7.6102,5.0,91
A Quiet Place,2018-04-06,9.9194,7.393,15145
The Ghost of Frankenstein,1942-03-13,7.3063,5.784,171
Tomorrowland,2015-05-22,7.9354,6.29,7298
The Hunger Games: Catching Fire,2013-11-22,9.4784,7.428,18254
The Curse of Frankenstein,1957-06-25,7.0801,6.8,331
V for Vendetta,2006-03-17,9.258,7.898,15396
Eternals,2021-11-05,9.2734,6.8,8997
Totally Killer,2023-09-28,6.837,6.798,1070
Children of Men,2006-12-25,7.4101,7.612,7714
Alita: Battle Angel,2019-02-14,8.2186,7.244,9849
Beyond Re-Animator,2003-04-04,7.1336,5.938,393
A Clockwork Orange,1971-12-19,8.5936,8.179,13668
Guardians of the Galaxy,2014-08-01,7.9603,7.905,29429
Don't Look Up,2021-12-10,8.7537,7.063,9173
Star Wars: Episode I - The Phantom Menace,1999-05-19,8.4363,6.571,15628
Limitless,2011-03-18,8.0988,7.196,11313
The Astronaut,2025-10-17,7.84,5.9,235
Planet of the Apes,1968-02-07,7.7868,7.646,3874
Death Race,2008-08-22,7.6369,6.292,4066
Face/Off,1997-06-27,8.0025,7.052,5795
TRON: Legacy,2010-12-17,7.268,6.537,7809
In Time,2011-10-28,8.5159,6.969,12013
Godzilla: King of the Monsters,2019-05-31,8.299,6.686,6608
The Phantom Planet,1961-12-13,7.189,3.926,68
The Hunger Games: The Ballad of Songbirds & Snakes,2023-11-17,7.6147,6.986,3413
Insurgent,2015-03-20,7.3301,6.36,10358
Monsters vs Aliens,2009-03-26,7.1808,6.24,4897
Total Recall,1990-06-01,7.4158,7.3,6332
Free Guy,2021-08-13,9.5074,7.454,9627
X-Men: Apocalypse,2016-05-27,8.1467,6.521,13632
Terminator: Dark Fate,2019-11-01,10.6077,6.414,5568
PK,2014-12-19,7.4105,7.696,1128
A.I. Artificial Intelligence,2001-06-29,7.7148,7.055,6557
"I, Robot",2004-07-16,8.3813,6.959,12498
Valerian and the City of a Thousand Planets,2017-07-21,6.7388,6.629,7893
Venom: Let There Be Carnage,2021-10-01,8.919,6.75,11052
Bureau 749,2024-10-01,7.1804,6.253,95
Jurassic Park,1993-06-11,8.1521,7.966,17622
Home,2015-03-27,8.294,6.788,4178
Back to the Future Part III,1990-05-25,7.7378,7.49,11354
Supergirl,2026-06-26,6.8841,0.0,0
Men in Black 3,2012-05-25,7.8418,6.54,10861
Akira,1988-10-19,8.6885,7.944,4672
Hulk,2003-06-20,7.53,5.6,6193
Alien Resurrection,1997-11-26,6.6713,6.164,5459
Megamind,2010-11-04,6.3423,7.018,7365
Ant-Man and the Wasp: Quantumania,2023-02-17,7.9206,6.2,5691
Batman Ninja vs. Yakuza League,2025-03-18,7.1132,6.7,221
Life,2017-03-24,7.0344,6.448,7827
M3GAN,2023-01-06,7.7398,7.034,4703
Dune: Part Three,2026-12-18,7.9023,0.0,0
Godzilla,1998-05-20,7.1928,5.65,4162
Dune,1984-12-14,7.3757,6.183,3362
9,2009-09-09,8.1761,6.944,3818
Self/less,2015-07-10,5.5996,6.416,3265
Ghost in the Shell,1996-03-29,7.1757,7.9,3793
The Butterfly Effect,2004-01-23,7.0809,7.571,8097
Event Horizon,1997-08-15,6.382,6.571,3195
Geostorm,2017-10-20,7.526,6.11,5089
Star Trek,2009-05-07,8.1667,7.43,10363
Annihilation,2018-02-23,8.1043,6.44,9244
Rampage,2018-04-13,7.846,6.447,7429
Moonfall,2022-02-04,6.8987,6.251,3496
The Mist,2007-11-21,7.5639,6.94,5727
Upgrade,2018-06-01,7.0479,7.5,4890
Watchmen,2009-03-06,8.5155,7.349,9840
The Meg,2018-08-10,8.4903,6.246,8106
Fantastic Four,2005-07-08,7.1493,5.804,9880
District 9,2009-08-14,7.1894,7.462,10182
The Invisible Man Returns,1940-01-12,6.3169,6.261,136
Infinite,2021-06-10,7.4124,6.564,2080
The Matrix Revolutions,2003-11-05,8.1063,6.748,10645
Gattaca,1997-10-24,7.5241,7.566,6818
Dragon Ball Z: Broly - The Legendary Super Saiyan,1993-03-06,6.6549,7.2,978
The Witch: Part 2. The Other One,2022-11-08,8.65,7.367,425
Scarlet,2025-12-12,7.4922,6.0,22
The Dark Tower,2017-08-04,6.6941,5.788,5462
The Iron Giant,1999-08-06,6.7046,7.95,6066
Mad Max,1980-03-21,7.0732,6.677,4871
Dredd,2012-09-21,7.1062,6.858,5438
Captain America: The First Avenger,2011-07-22,7.2492,7.005,22531
Men in Black II,2002-07-03,7.1151,6.4,10524
Predators,2010-07-09,7.5668,6.293,4533
Star Wars: Episode II - Attack of the Clones,2002-05-16,8.1115,6.591,14155
Godzilla vs. Kong,2021-03-31,7.1864,7.541,10508
Superman,1978-12-15,7.2697,7.156,4200
Dragon Ball Super: Super Hero,2022-08-19,6.4873,7.881,2987
The Fly,1986-08-15,7.567,7.428,4870
Oblivion,2013-04-19,7.7512,6.669,11341
Alien³,1992-05-22,6.3338,6.377,6261
Ice Age: Collision Course,2016-07-22,8.0167,6.113,4829
Transformers: The Last Knight,2017-06-21,7.3119,6.049,6629
Star Wars: Episode III - Revenge of the Sith,2005-05-19,8.0368,7.462,14742
Jumper,2008-02-14,6.3257,6.155,6139
Elysium,2013-08-09,7.8573,6.513,9454
The Bermuda Depths,1978-01-27,6.0536,5.292,24
Resident Evil: Damnation,2012-09-25,5.8449,6.9,976
The Island,2005-07-22,6.7893,6.689,5796
Return of the Jedi,1983-05-25,7.5277,7.904,16726
Atlas,2024-05-24,7.0566,6.671,1514
Slanted,2026-03-13,6.9664,7.833,6
Gravity,2013-10-04,7.1407,7.168,16153
A Quiet Place: Day One,2024-06-28,7.3443,6.658,3227
Terminator 3: Rise of the Machines,2003-07-02,7.6214,6.183,7139
Teenage Mutant Ninja Turtles: Out of the Shadows,2016-06-03,6.8199,6.047,3745
The Witch: Part 1. The Subversion,2018-06-27,6.4238,7.9,709
Source Code,2011-04-01,6.7132,7.308,8971
Treasure Planet,2002-11-27,6.4221,7.562,4535
Borderlands,2024-08-09,7.2691,5.596,1429
Neon Genesis Evangelion: The End of Evangelion,2024-03-17,7.2361,8.3,1807
Paprika,2007-05-25,6.1434,7.8,2790
Dark Phoenix,2019-06-07,7.5324,5.963,6982
Déjà Vu,2006-11-22,7.0917,6.875,5191
Predator 2,1990-11-21,6.829,6.296,3745
The Hunger Games: Mockingjay - Part 2,2015-11-18,7.4246,6.9,13201
Cloud Atlas,2012-10-26,5.9007,6.893,7430
Bumblebee,2018-12-21,7.4142,6.719,6537
Dragon Ball Z: Battle of Gods,2014-08-05,6.4233,6.806,1619
Dragon Ball Z: Resurrection 'F',2015-08-04,6.8887,6.858,1990
The Purge,2013-06-06,6.8368,6.251,8756
Independence Day: Resurgence,2016-06-24,6.0514,5.352,6375
The Toxic Avenger Unrated,2025-08-29,6.4461,5.972,322
Green Lantern,2011-06-17,6.3958,5.178,7577
Pacific Rim: Uprising,2018-03-23,6.692,6.122,5259
The Hunger Games,2012-03-23,6.5278,7.221,23077
Shin Godzilla,2016-10-11,5.7416,7.209,1527
